time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,left_right_balance,left_pedal_smoothness,right_pedal_smoothness,left_torque_effectiveness,right_torque_effectiveness,respiration
1213,183,74,129,5986.7,49.6,52.619854,13.271552,5.505,9,24,58,21.5,27.5,72.0,83.0,28.38
1214,178,76,129,5992.32,49.6,52.619827,13.271622,5.636,9,22,53,21.5,25.5,75.0,81.5,28.38
1215,169,78,129,5998.18,49.6,52.619797,13.271694,5.72,9,21,53,24.5,26.5,81.0,83.0,28.76
1216,136,78,129,6004.13,49.6,52.619766,13.27177,6.093,9,17,60,21.5,28.0,70.5,85.5,28.76
1217,134,82,129,6010.71,49.4,52.61973,13.271851,6.233,9,16,60,20.5,25.0,67.5,80.5,28.76
1218,129,84,129,6017.37,49.4,52.6197,13.271934,6.233,9,15,60,17.5,26.0,61.0,80.0,28.76
1219,143,84,128,6023.98,49.2,52.61967,13.272011,6.074,9,16,60,19.0,25.0,63.5,79.5,28.76
1220,147,85,127,6030.12,49.2,52.619637,13.272085,6.13,9,17,60,19.0,25.0,63.5,79.5,29.02
1221,154,86,127,6036.94,49.0,52.619602,13.272167,6.429,9,17,60,19.0,26.0,66.0,78.5,29.02
1222,140,84,127,6043.03,49.0,52.619576,13.2722435,6.196,9,16,59,18.5,25.0,63.0,80.5,29.02
1223,136,84,127,6049.41,49.0,52.61954,13.2723255,6.326,9,15,60,20.0,25.5,66.0,80.0,29.02
1224,141,84,128,6055.76,49.0,52.61951,13.272406,6.186,9,16,58,18.5,25.5,62.5,78.5,29.02
1225,144,84,127,6062.31,48.8,52.619476,13.272484,5.972,9,16,58,19.5,24.5,65.0,76.5,28.79
1226,146,81,125,6068.72,48.8,52.619446,13.272561,5.925,9,17,55,19.5,25.0,69.0,80.5,28.79
1227,199,82,124,6074.89,48.8,52.619415,13.272635,5.897,9,23,54,26.0,24.0,82.0,79.0,28.79
1228,189,81,124,6080.59,48.8,52.61939,13.27271,5.804,9,22,47,26.5,25.5,85.5,80.5,28.79
1229,210,83,125,6087.1,48.8,52.619358,13.272792,6.028,9,24,56,26.5,25.5,85.5,80.5,28.79
1230,178,82,126,6093.34,48.8,52.619324,13.272867,6.102,9,21,55,26.5,25.5,85.5,80.5,26.28
1231,165,82,128,6099.71,48.8,52.61929,13.272941,6.196,9,19,56,23.0,26.5,75.0,82.5,26.28
1232,168,81,128,6106.25,48.8,52.61926,13.273017,5.804,9,20,56,24.0,27.5,80.0,84.0,26.28
1233,166,81,128,6111.81,48.8,52.619232,13.273088,5.878,9,20,56,22.0,27.0,70.0,85.0,26.28
1234,170,82,128,6117.7,48.6,52.6192,13.273161,5.944,9,20,54,22.5,25.5,73.5,81.0,26.28
1235,190,80,128,6123.53,48.6,52.619167,13.273228,5.589,9,23,55,24.5,26.0,79.5,83.0,28.15
1236,205,77,128,6129.59,48.6,52.61914,13.273301,5.822,9,25,52,24.0,26.5,80.0,85.0,28.15
1237,250,76,128,6135.17,48.6,52.619114,13.273372,5.636,9,31,52,28.5,26.0,85.0,85.0,28.15
1238,191,66,128,6140.88,48.6,52.619087,13.273446,5.654,9,28,49,28.5,26.0,85.0,85.0,28.15
1239,203,66,128,6146.82,48.8,52.619057,13.2735195,5.72,9,29,54,18.0,25.5,85.5,87.5,28.15
1240,179,65,129,6152.51,49.0,52.619026,13.273589,5.263,9,26,53,26.0,26.0,84.5,85.0,29.4
1241,150,63,129,6158.35,49.0,52.618996,13.273657,5.039,9,23,45,24.5,23.5,81.5,79.0,29.4
1242,224,61,129,6163.63,49.2,52.61897,13.273722,5.132,9,35,45,25.5,28.5,85.5,88.0,29.4
1243,262,59,130,6168.92,49.2,52.618942,13.273786,4.945,9,42,45,23.5,24.5,83.0,86.5,29.4
1244,274,61,130,6174.26,49.2,52.61891,13.273849,5.151,9,43,49,23.5,25.0,83.5,90.5,29.4
1245,272,60,132,6180.06,49.4,52.61888,13.273917,5.057,9,43,49,24.5,25.5,83.5,91.5,29.44
1246,251,60,133,6185.09,49.4,52.618855,13.273975,4.749,9,40,52,24.5,25.5,83.5,91.5,29.44
1247,243,59,133,6190.43,49.6,52.61882,13.2740345,4.861,9,39,52,24.5,25.5,83.5,91.5,29.44
1248,270,62,134,6196.18,49.6,52.618786,13.27409,4.936,9,42,52,23.0,24.0,80.5,90.0,29.44
1249,243,62,134,6201.49,49.8,52.61875,13.274144,5.486,9,37,56,22.0,24.0,79.5,89.0,29.44
1250,181,67,135,6206.61,50.0,52.618717,13.274197,5.309,9,26,54,24.5,22.5,76.0,86.5,31.04
1251,151,67,135,6212.29,50.2,52.618683,13.274262,5.71,9,22,51,26.0,23.0,82.5,74.5,31.04
1252,156,69,135,6218.19,50.2,52.61865,13.274329,6.074,9,22,52,26.5,28.0,86.0,87.0,31.04
1253,159,70,135,6224.27,50.2,52.618607,13.274397,5.944,9,22,56,24.0,30.5,80.0,91.0,31.04
1254,162,71,135,6230.24,50.0,52.61857,13.274458,5.701,9,22,59,23.5,29.0,78.5,90.5,31.04
1255,155,71,135,6236.85,49.8,52.618523,13.274525,5.822,9,21,56,24.5,28.5,81.0,87.5,31.72
1256,167,70,135,6243.64,49.8,52.618477,13.2745905,5.86,9,23,52,25.5,28.0,82.0,86.0,31.72
1257,163,68,135,6250.04,49.8,52.618443,13.274656,5.542,9,23,51,25.5,28.0,82.0,86.0,31.72
1258,166,68,134,6255.84,49.8,52.61841,13.27472,5.468,9,23,51,27.0,28.0,88.0,87.0,31.72
1259,174,69,134,6261.65,49.8,52.618366,13.274783,5.664,9,24,51,26.5,30.0,82.0,90.0,31.72
1260,168,70,134,6268.21,50.0,52.618324,13.274847,5.813,9,23,55,24.0,29.5,76.5,89.0,31.77
1261,144,71,134,6274.54,50.0,52.618282,13.274909,5.533,9,19,66,23.0,27.5,74.5,87.5,31.77
1262,188,78,133,6280.18,50.0,52.618244,13.274962,5.356,9,23,54,25.0,31.0,76.0,87.5,31.77
1263,207,78,133,6286.39,50.0,52.618202,13.275021,5.738,9,25,54,24.5,26.5,78.5,85.0,31.77
1264,200,78,133,6292.47,50.0,52.618164,13.275083,5.524,9,24,54,23.5,27.0,76.0,85.5,31.77
1265,201,78,133,6297.75,50.0,52.61813,13.27514,5.738,9,25,54,23.5,28.0,77.5,87.5,32.21
1266,159,78,133,6303.78,50.0,52.61809,13.275202,5.552,9,19,56,23.5,28.0,77.5,87.5,32.21
1267,140,82,134,6309.57,50.0,52.618053,13.275264,5.626,9,16,56,21.0,27.5,71.0,84.5,32.21
1268,130,80,135,6316.11,50.0,52.61801,13.275329,5.869,9,16,59,21.0,26.0,68.0,80.0,32.21
1269,139,87,135,6322.1,50.0,52.617973,13.275393,6.093,9,15,62,17.5,26.0,61.5,80.0,32.21
1270,109,85,136,6327.99,49.8,52.617935,13.275455,5.804,9,12,59,16.5,25.0,56.5,76.5,32.89
1271,121,87,136,6334.1,49.8,52.617897,13.275521,5.748,9,13,59,16.5,24.5,57.5,71.5,32.89
1272,124,87,135,6340.31,49.6,52.617855,13.275585,6.018,9,14,54,19.0,27.0,64.5,76.5,32.89
1273,125,87,134,6346.98,49.4,52.61781,13.275647,5.757,9,14,60,19.0,27.0,64.5,76.5,32.89
1274,145,86,133,6353.81,49.2,52.617764,13.275715,6.401,9,16,58,22.0,26.0,69.0,78.0,32.89
1275,137,88,133,6360.23,49.2,52.61772,13.275782,5.626,9,15,58,22.0,26.0,69.0,78.0,32.95
1276,149,86,133,6367.41,49.2,52.617676,13.275853,6.009,9,17,59,22.0,26.0,69.0,78.0,32.95
1277,143,84,133,6373.91,49.0,52.61763,13.275917,5.906,9,16,58,20.0,28.0,67.0,84.5,32.95
1278,143,86,133,6380.41,49.0,52.617588,13.275981,5.654,9,16,58,22.0,26.0,68.0,80.5,32.95
1279,132,94,133,6386.89,48.8,52.617546,13.276044,5.841,9,13,64,17.5,25.0,58.5,76.5,32.95
1280,139,95,134,6393.02,48.6,52.617504,13.276106,5.729,9,14,59,22.5,26.0,69.5,76.5,33.38
1281,143,93,134,6399.08,48.6,52.617466,13.276171,5.776,9,15,53,22.5,27.0,77.0,80.5,33.38
1282,159,94,134,6405.43,48.6,52.617428,13.276239,5.692,9,16,53,22.5,29.0,79.0,84.0,33.38
1283,156,95,133,6411.9,48.6,52.617386,13.276302,5.785,9,16,52,23.5,27.5,77.0,79.5,33.38
1284,140,93,132,6418.17,48.6,52.617344,13.276366,5.757,9,14,56,23.5,27.5,77.0,79.5,33.38
1285,137,93,132,6424.44,48.6,52.617302,13.276429,5.72,9,14,51,20.0,27.5,63.0,80.0,31.7
1286,151,89,131,6430.62,48.6,52.617264,13.276494,5.682,9,16,62,20.0,27.5,63.0,80.0,31.7
1287,146,83,130,6436.93,48.6,52.617218,13.276555,5.701,9,17,62,22.0,27.0,70.5,82.0,31.7
1288,164,80,130,6443.46,48.6,52.617176,13.276621,5.897,9,20,62,21.5,25.0,70.5,81.5,31.7
1289,216,79,130,6449.65,48.6,52.61714,13.276694,5.804,9,26,51,23.0,27.5,79.5,84.0,31.7
1290,213,80,130,6456.16,48.8,52.61712,13.27678,5.832,9,25,55,23.5,27.5,82.0,84.0,32.55
1291,204,79,130,6462.13,48.8,52.617107,13.276863,5.664,9,25,59,23.5,27.5,82.0,84.0,32.55
1292,180,79,130,6467.83,48.8,52.61709,13.276944,5.785,9,22,55,23.5,27.5,82.0,84.0,32.55
1293,146,79,130,6473.84,49.0,52.617065,13.277024,5.664,9,18,59,,,,,32.55
1294,172,82,130,6479.93,48.8,52.617046,13.277107,5.794,9,20,58,21.5,26.0,73.5,83.0,32.55
1295,164,82,131,6485.8,48.8,52.617023,13.277188,5.981,9,19,54,21.5,24.5,74.5,81.0,32.33
1296,164,82,131,6492.11,49.0,52.617004,13.277272,5.664,9,19,48,24.0,25.5,77.0,78.5,32.33
1297,191,81,129,6497.8,48.8,52.61699,13.277354,5.832,9,23,50,23.0,25.0,77.0,80.0,32.33
1298,164,80,129,6503.75,48.8,52.61697,13.277435,5.804,9,20,50,24.0,27.5,77.0,83.5,32.33
1299,191,80,129,6509.41,48.8,52.616955,13.277515,5.832,9,23,59,22.0,27.5,73.0,83.5,32.33
1300,200,79,128,6515.4,48.8,52.616936,13.277599,5.757,9,24,56,27.5,31.5,87.0,93.5,32.97
1301,204,81,129,6521.39,48.8,52.61691,13.27768,5.85,9,24,56,25.5,32.0,81.0,92.5,32.97
1302,199,81,129,6527.36,48.8,52.61689,13.277761,5.505,9,23,48,25.5,32.0,81.0,92.5,32.97
1303,180,77,129,6533.64,49.0,52.61687,13.277849,5.617,9,22,48,25.5,27.5,83.0,85.5,32.97
1304,210,81,130,6539.49,49.0,52.61685,13.277928,5.505,9,25,55,23.0,23.0,81.5,80.5,32.97
1305,177,77,130,6545.44,49.0,52.616833,13.278013,5.692,9,22,56,26.0,26.5,83.5,87.5,33.4
1306,184,79,130,6551.34,49.0,52.61681,13.278093,5.468,9,22,59,25.5,29.5,82.0,86.5,33.4
1307,191,78,129,6557.53,49.0,52.616787,13.278174,5.496,9,23,56,22.0,27.0,72.5,87.5,33.4
1308,194,79,130,6563.53,49.0,52.616768,13.278255,5.496,9,23,56,24.0,26.0,79.0,83.5,33.4
1309,213,78,129,6569.49,49.2,52.61675,13.278338,5.505,9,26,53,24.0,26.0,79.0,83.5,33.4
1310,202,79,129,6575.47,49.2,52.61673,13.278424,5.514,9,24,55,26.5,30.0,85.0,91.5,33.4
1311,183,78,131,6581.81,49.2,52.61671,13.278509,5.272,9,22,56,26.5,30.0,85.0,91.5,32.5
1312,192,78,131,6587.59,49.2,52.61669,13.278588,5.458,9,24,54,25.5,29.5,82.5,87.5,32.5
1313,199,78,132,6593.5,49.4,52.616676,13.278671,5.43,9,24,52,27.5,28.5,88.5,87.5,32.5
1314,204,78,132,6599.23,49.4,52.61666,13.278751,5.449,9,25,50,26.0,28.0,86.0,90.5,32.5
1315,219,81,132,6604.92,49.4,52.61664,13.278832,5.748,9,26,54,24.0,27.5,82.0,84.0,32.3
1316,195,76,132,6611.52,49.4,52.61662,13.278924,5.738,9,25,54,26.0,28.5,84.5,91.0,32.3
1317,183,81,132,6617.84,49.4,52.616604,13.279011,5.636,9,22,61,25.0,28.0,76.5,90.5,32.3
1318,198,81,131,6623.84,49.4,52.616585,13.279094,5.729,9,23,58,24.0,26.5,76.5,86.5,32.3
1319,181,79,131,6629.85,49.4,52.616566,13.279179,5.636,9,22,57,21.0,27.5,71.5,83.0,32.3
1320,185,81,131,6635.86,49.4,52.616543,13.27926,5.533,9,22,54,21.0,27.5,71.5,83.0,31.77
1321,162,80,131,6642.32,49.6,52.616528,13.279348,5.654,9,19,59,21.0,25.5,71.5,83.0,31.77
1322,185,77,131,6648.29,49.4,52.616512,13.279432,5.468,9,23,58,22.0,26.5,71.0,83.5,31.77
1323,196,80,132,6653.95,49.4,52.616497,13.279512,5.626,9,23,57,25.0,29.5,82.0,91.5,31.77
1324,204,77,132,6659.69,49.4,52.61648,13.279592,5.486,9,25,51,27.5,30.5,89.5,91.0,31.77
1325,218,77,132,6665.29,49.4,52.616467,13.279673,5.43,9,27,57,25.5,29.5,83.5,92.0,31.81
1326,171,73,133,6671.0,49.4,52.616455,13.279756,5.291,9,22,54,25.0,31.0,83.0,90.5,31.81
1327,224,76,133,6676.82,49.6,52.616444,13.279839,5.291,9,28,54,25.0,31.0,83.0,90.5,31.81
1328,219,75,134,6682.47,49.6,52.616432,13.279919,5.076,9,28,55,25.0,28.5,86.0,91.0,31.81
1329,219,73,134,6687.99,49.8,52.616417,13.279999,5.384,9,29,52,25.0,28.5,86.0,91.0,31.81
1330,226,74,134,6693.79,49.8,52.616405,13.280083,5.44,9,29,60,26.5,28.0,90.0,88.0,33.01
1331,206,74,134,6699.37,50.0,52.61639,13.280161,5.085,9,27,60,30.5,31.5,91.5,96.0,33.01
1332,223,75,134,6704.68,50.0,52.616383,13.280239,5.169,9,28,60,24.0,32.0,84.0,91.5,33.01
1333,226,75,134,6710.46,50.2,52.616375,13.280321,5.253,9,29,60,22.0,26.5,78.0,86.5,33.01
1334,201,75,134,6716.06,50.2,52.61637,13.280403,5.225,9,26,54,26.5,29.5,87.5,93.5,33.01
1335,201,75,134,6721.23,50.2,52.616364,13.28048,5.253,9,26,54,26.0,29.5,84.0,92.0,33.03
1336,208,75,134,6726.78,50.2,52.616352,13.2805605,5.095,9,26,55,26.0,29.5,84.0,92.0,33.03
1337,219,76,134,6732.29,50.2,52.61634,13.280641,5.272,9,28,51,23.5,27.0,81.0,89.0,33.03
1338,191,77,134,6738.65,50.2,52.616333,13.280733,5.496,9,24,56,23.5,27.0,81.0,89.0,33.03
1339,204,76,134,6744.74,50.2,52.616325,13.280821,5.449,9,26,50,23.5,26.0,79.0,86.0,33.03
1340,225,76,134,6750.32,50.2,52.616314,13.280903,5.328,9,28,53,25.5,29.0,86.0,88.5,33.04
1341,225,74,134,6756.17,50.4,52.616306,13.280986,5.225,9,29,52,24.0,27.5,81.5,89.5,33.04
1342,213,75,134,6761.81,50.4,52.6163,13.281069,5.458,9,27,57,23.5,26.5,83.0,87.5,33.04
1343,191,75,134,6767.23,50.6,52.61629,13.28115,5.337,9,24,57,24.0,28.0,81.5,89.0,33.04
1344,197,78,134,6773.15,50.6,52.616287,13.281235,5.374,9,24,54,23.0,27.0,77.0,87.0,33.04
1345,229,81,134,6778.78,50.6,52.61628,13.281316,5.365,9,27,55,23.5,27.5,78.0,87.5,33.84
1346,181,78,134,6784.88,50.6,52.616272,13.281407,5.916,9,22,56,23.0,27.5,78.0,87.5,33.84
1347,152,81,134,6791.05,50.6,52.61626,13.281498,5.804,9,18,58,23.0,27.5,78.0,87.5,33.84
1348,137,81,134,6797.03,50.6,52.616257,13.281587,5.598,9,16,59,22.0,27.0,73.5,84.5,33.84
1349,146,81,134,6803.55,50.6,52.616257,13.281682,5.776,9,17,59,20.5,28.5,69.0,86.5,33.84
1350,154,83,134,6809.79,50.6,52.616253,13.281774,5.888,9,18,58,20.5,28.0,69.0,83.5,32.8
1351,134,83,134,6816.32,50.4,52.616245,13.281867,6.084,9,15,61,21.5,29.5,67.5,86.0,32.8
1352,142,82,134,6822.0,50.4,52.616238,13.281955,5.972,9,17,58,18.5,29.0,63.5,83.0,32.8
1353,179,82,133,6828.83,50.4,52.616234,13.282054,6.018,9,21,55,22.0,25.0,72.5,78.5,32.8
1354,179,81,133,6835.49,50.4,52.616226,13.282151,5.981,9,21,55,26.0,32.0,86.5,89.5,32.8
1355,195,82,133,6841.82,50.2,52.616222,13.282244,5.794,9,23,60,25.5,37.5,85.5,97.5,31.7
1356,166,80,133,6848.28,50.4,52.616215,13.282338,5.85,9,20,57,23.5,30.0,75.5,89.0,31.7
1357,177,79,134,6854.48,50.4,52.616207,13.282428,5.72,9,21,57,23.5,30.0,75.5,89.0,31.7
1358,171,78,135,6860.48,50.4,52.6162,13.282516,5.682,9,21,58,23.0,27.5,79.0,86.0,31.7
1359,182,77,135,6866.43,50.2,52.6162,13.282602,5.58,9,23,58,22.5,28.0,74.0,88.5,31.7
1360,176,76,133,6872.04,50.2,52.6162,13.282685,5.486,9,22,58,24.0,28.0,80.5,89.0,31.77
1361,156,74,132,6877.93,50.4,52.616203,13.282771,5.608,9,20,58,23.0,28.5,80.5,89.0,31.77
1362,171,80,131,6883.54,50.4,52.616196,13.282854,5.598,9,20,61,24.0,29.0,76.5,93.0,31.77
1363,171,81,131,6889.2,50.2,52.616196,13.282939,5.626,9,20,58,24.0,31.0,76.0,93.5,31.77
1364,162,79,131,6895.05,50.4,52.6162,13.283028,5.589,9,20,55,22.5,29.5,76.0,88.0,31.77
1365,159,79,131,6901.08,50.4,52.61621,13.283115,5.524,9,19,56,22.5,29.5,76.0,88.0,29.84
1366,167,78,131,6907.22,50.4,52.61622,13.283207,5.561,9,20,58,22.5,29.5,76.0,88.0,29.84
1367,182,80,130,6913.73,50.2,52.616226,13.2832985,5.402,9,22,54,23.0,29.0,74.5,87.5,29.84
1368,193,79,130,6919.97,50.2,52.616234,13.283388,5.598,9,23,57,23.0,28.5,76.0,86.5,29.84
1369,184,77,131,6925.43,50.2,52.61625,13.283465,5.3,9,23,56,24.0,29.0,79.5,88.0,29.84
1370,181,78,131,6931.29,50.4,52.61626,13.283549,5.645,9,22,57,23.0,29.0,78.5,87.5,28.95
1371,171,80,131,6937.22,50.2,52.616272,13.283635,5.71,9,20,57,23.5,27.0,76.0,86.0,28.95
1372,157,80,131,6942.96,50.2,52.616283,13.28372,5.701,9,19,57,24.0,29.0,76.0,84.5,28.95
1373,164,84,131,6949.27,50.2,52.616295,13.283813,5.85,9,19,56,23.5,28.0,77.5,86.0,28.95
1374,168,84,131,6955.83,50.2,52.616306,13.283902,5.561,9,19,52,23.5,29.0,78.5,86.0,28.95
1375,177,83,132,6961.61,50.2,52.61631,13.283989,5.832,9,20,59,23.5,29.0,78.5,86.0,30.32
1376,160,82,131,6967.18,50.2,52.61631,13.284074,5.589,9,19,59,22.0,26.0,71.0,82.0,30.32
1377,155,80,129,6973.33,50.2,52.616314,13.284164,5.832,9,19,58,22.0,25.5,70.5,82.0,30.32
1378,174,81,128,6979.86,50.2,52.616325,13.284259,5.916,9,21,64,20.5,27.0,68.5,85.0,30.32
1379,154,82,129,6986.3,50.2,52.616325,13.284354,6.018,9,18,55,22.5,26.0,69.5,85.0,30.32
1380,162,82,129,6992.34,50.2,52.61633,13.284443,5.794,9,19,57,21.0,27.0,69.5,81.5,32.02
1381,151,81,130,6998.58,50.0,52.616333,13.284537,5.804,9,18,55,22.0,25.5,71.0,79.0,32.02
1382,129,81,130,7004.69,50.0,52.616337,13.284628,5.514,9,15,60,19.5,26.0,66.0,79.0,32.02
1383,9,81,130,7010.32,50.0,52.616356,13.284705,4.908,9,1,60,19.5,26.0,66.0,79.0,32.02
1384,9,81,130,7015.77,50.0,52.616394,13.284767,5.141,9,1,60,19.5,26.0,66.0,79.0,32.02
1385,9,17,129,7021.36,49.8,52.61644,13.284795,4.581,9,5,,,,,,33.55
1386,216,82,128,7026.85,49.8,52.616493,13.284789,5.3,9,25,59,0.0,40.5,0.0,92.5,33.55
1387,214,75,128,7032.24,49.8,52.61654,13.284781,4.787,9,27,58,0.0,40.5,0.0,92.5,33.55
1388,196,76,128,7037.51,49.8,52.61659,13.284775,4.712,9,25,62,27.5,28.5,89.5,90.5,33.55
1389,209,75,129,7043.39,49.8,52.616642,13.284771,5.309,9,27,62,28.5,34.0,91.0,96.0,33.55
1390,204,71,129,7049.31,49.8,52.61669,13.284764,4.852,9,27,51,26.0,30.0,87.5,92.0,33.0
1391,172,74,129,7054.14,50.0,52.616737,13.284761,4.348,9,22,56,26.0,29.0,83.5,91.5,33.0
1392,198,83,130,7058.92,50.0,52.616776,13.284753,4.096,9,23,52,27.0,31.0,85.5,89.5,33.0
1393,201,82,130,7063.4,50.2,52.616817,13.284749,4.245,9,23,52,27.0,31.0,85.5,89.5,33.0
1394,208,83,131,7068.22,50.4,52.61686,13.284752,3.994,9,24,52,28.5,32.5,90.0,89.5,33.0
1395,210,83,131,7072.56,50.4,52.6169,13.284746,4.535,9,24,57,27.0,31.5,86.0,91.5,32.63
1396,228,82,131,7076.93,50.6,52.61694,13.284739,3.518,9,27,62,25.5,30.5,83.0,94.0,32.63
1397,210,81,131,7081.45,50.8,52.616985,13.284732,4.544,9,25,56,30.0,29.5,90.0,93.5,32.63
1398,255,81,131,7087.17,51.0,52.617035,13.284725,4.217,9,30,50,29.5,33.5,94.5,96.0,32.63
1399,255,77,131,7092.24,51.2,52.617077,13.284723,3.826,9,32,50,29.5,33.5,94.5,96.0,32.63
1400,254,74,131,7096.73,51.4,52.617115,13.28473,3.602,9,33,52,29.0,32.0,95.5,96.0,32.38
1401,265,74,132,7100.46,51.6,52.61715,13.284742,3.835,9,34,51,28.0,30.5,92.5,95.5,32.38
1402,265,71,132,7104.59,51.8,52.617184,13.28475,3.639,9,36,54,28.0,30.5,92.5,95.5,32.38
1403,276,73,131,7108.6,52.0,52.61722,13.284771,4.078,9,36,54,29.5,30.0,95.0,96.0,32.38
1404,261,74,131,7112.55,52.2,52.61725,13.2848015,3.676,9,34,54,29.5,30.0,95.0,96.0,32.38
1405,230,77,132,7116.85,52.4,52.617283,13.28483,4.012,9,29,54,27.0,30.5,89.5,93.5,31.43
1406,207,79,132,7121.47,52.4,52.61732,13.284859,4.488,9,25,54,23.0,27.0,77.5,88.0,31.43
1407,143,80,132,7126.06,52.6,52.61736,13.28489,4.357,9,17,60,20.0,26.0,69.0,86.0,31.43
1408,137,83,132,7130.99,52.6,52.617397,13.284926,4.721,9,16,61,18.0,26.0,60.5,80.5,31.43
1409,110,84,132,7136.83,52.6,52.617443,13.284965,5.085,9,13,61,18.0,26.0,60.5,80.5,31.43
1410,114,84,132,7141.61,52.6,52.617477,13.285003,4.693,9,13,61,18.0,26.0,60.5,80.5,30.79
1411,114,61,132,7147.17,52.6,52.617523,13.285048,5.533,9,18,61,,,,,30.79
1412,131,92,132,7152.72,52.4,52.61756,13.285096,5.58,9,14,61,19.5,28.0,71.0,83.0,30.79
1413,131,76,131,7158.37,52.2,52.6176,13.28516,5.972,9,16,51,21.5,26.0,69.5,81.0,30.79
1414,148,73,131,7164.63,52.2,52.61763,13.285235,6.093,9,19,62,19.5,27.0,66.5,89.5,30.79
1415,122,73,131,7171.55,51.8,52.617664,13.285323,6.643,9,16,64,18.5,24.5,62.5,82.0,31.16
1416,122,79,130,7178.72,51.6,52.617706,13.285407,6.699,9,15,64,18.5,24.5,62.5,82.0,31.16
1417,130,80,130,7186.51,51.4,52.61775,13.285493,6.718,9,16,59,18.5,24.5,62.5,82.0,31.16
1418,117,80,129,7193.27,51.2,52.617786,13.285571,6.662,9,14,58,17.5,25.0,60.5,78.5,31.16
1419,113,79,129,7200.01,51.0,52.617825,13.285652,6.625,9,14,63,19.0,24.0,63.5,76.0,31.16
1420,140,78,129,7206.84,51.0,52.617867,13.285728,6.448,9,17,54,19.0,24.0,63.5,76.0,31.01
1421,156,75,128,7213.97,51.0,52.617916,13.285797,5.962,9,20,57,20.0,24.0,66.5,81.0,31.01
1422,176,74,127,7220.43,51.0,52.61796,13.28586,5.878,9,23,57,22.0,24.0,73.5,81.0,31.01
1423,177,73,128,7227.88,51.0,52.618008,13.285926,5.71,9,23,53,23.5,27.5,79.0,85.0,31.01
1424,189,71,128,7233.88,51.0,52.618053,13.285981,5.841,9,25,56,26.5,29.5,88.0,89.5,31.01
1425,194,69,128,7240.34,51.2,52.618103,13.286038,5.888,9,27,55,25.5,31.0,87.0,95.0,29.73
1426,171,69,128,7246.62,51.2,52.618145,13.28609,5.402,9,24,53,26.5,30.0,89.0,92.0,29.73
1427,171,68,128,7252.43,51.2,52.618187,13.286142,5.16,9,24,53,23.5,28.0,81.5,87.5,29.73
1428,180,72,128,7258.43,51.2,52.618225,13.286206,5.654,9,24,58,26.0,29.0,83.5,91.5,29.73
1429,159,72,128,7264.58,51.2,52.61826,13.286277,5.636,9,21,57,26.0,29.0,83.5,91.5,29.73
1430,150,74,128,7270.64,51.2,52.618294,13.286351,5.962,9,19,57,24.0,28.5,78.0,89.0,29.66
1431,146,77,129,7277.18,51.0,52.61833,13.286432,6.205,9,18,59,22.0,28.5,74.5,87.0,29.66
1432,141,76,128,7284.8,51.0,52.618366,13.286522,6.345,9,18,59,22.0,28.5,74.5,87.0,29.66
1433,141,77,128,7291.81,50.8,52.618397,13.286611,6.317,9,17,58,22.0,28.5,74.5,87.0,29.66
1434,159,74,128,7298.26,50.8,52.61842,13.286696,6.037,9,21,58,21.5,28.0,72.0,85.5,29.66
1435,173,70,128,7304.31,50.6,52.61844,13.286779,5.608,9,24,55,25.5,29.0,80.5,86.0,30.01
1436,140,81,127,7309.81,50.8,52.618454,13.286857,5.328,9,17,55,23.0,30.5,74.5,90.5,30.01
1437,237,95,128,7315.01,50.8,52.618465,13.286932,4.955,9,24,51,26.5,29.0,85.0,86.5,30.01
1438,232,92,128,7320.56,51.0,52.61848,13.287008,4.871,9,24,54,26.5,29.0,85.0,86.5,30.01
1439,213,87,128,7325.7,51.2,52.6185,13.287079,4.861,9,23,57,26.5,31.5,85.0,90.5,30.01
1440,217,88,128,7330.83,51.4,52.618515,13.287149,4.665,9,24,56,23.0,31.0,78.5,91.0,30.24
1441,204,90,129,7335.76,51.4,52.618546,13.28721,4.731,9,22,59,22.5,27.5,76.0,87.0,30.24
1442,221,89,128,7341.35,51.6,52.61858,13.287263,4.497,9,24,53,22.0,26.0,76.0,82.0,30.24
1443,258,88,129,7346.52,51.6,52.61861,13.28732,4.619,9,28,54,23.5,26.5,79.0,85.5,30.24
1444,291,88,129,7351.19,51.8,52.61864,13.287369,4.712,9,32,52,27.0,28.0,90.5,90.5,30.24
1445,291,87,129,7355.89,52.0,52.61867,13.28742,4.385,9,32,54,25.5,30.5,86.0,91.5,30.24
1446,282,82,131,7360.26,52.2,52.618694,13.287468,3.779,9,33,52,28.0,27.0,91.0,88.5,29.61
1447,288,79,131,7364.76,52.4,52.61872,13.287517,3.984,9,35,51,28.5,30.0,95.5,91.5,29.61
1448,273,73,131,7368.85,52.8,52.61875,13.287561,4.031,9,36,50,28.5,30.0,95.5,91.5,29.61
1449,259,71,132,7373.41,53.0,52.618782,13.287603,3.723,9,35,54,25.0,26.5,86.5,88.5,29.61
1450,210,71,132,7377.75,53.4,52.618813,13.287645,3.938,9,28,52,27.0,28.0,92.5,90.5,29.58
1451,130,71,133,7382.34,53.4,52.618843,13.287688,3.947,9,17,55,27.0,30.0,87.0,94.0,29.58
1452,130,82,132,7387.8,53.6,52.618877,13.287746,4.983,9,15,62,20.5,28.0,67.0,83.5,29.58
